67.6;67.6;67.6;67.6;67.6;70.8;87.5;86.3;86.3;86.3;86.3;86.3;89.8;100.1;77.8;77.8;77.8;77.8;77.8;80.2;93.4
60.8;60.8;60.8;60.8;60.8;68.2;81.1;76.9;76.9;76.9;76.9;76.9;84.9;92.5;69.6;69.6;69.6;69.6;69.6;75.1;86.8
54.9;54.9;54.9;54.9;54.9;65.9;75;68.8;68.8;68.8;68.8;68.8;80.7;85.9;62.4;62.4;62.4;62.4;62.4;70.7;81.2
49.9;49.9;49.9;49.9;49.9;63.3;69.1;62.4;62.4;62.4;62.4;62.4;76.6;79.9;56.6;56.6;56.6;56.6;56.6;66.6;75.7
46.2;46.2;46.2;46.2;46.2;59.5;63.4;58;58;58;58;58;71.7;74.1;52.5;52.5;52.5;52.5;52.5;62.3;70.1
43.6;43.6;43.6;43.6;43.6;55;58.2;55.3;55.3;55.3;55.3;55.3;66.6;68.7;49.7;49.7;49.7;49.7;49.7;58;64.5
41.9;41.9;41.9;41.9;41.9;50.5;53.6;53.6;53.6;53.6;53.6;53.6;61.6;63.9;47.9;47.9;47.9;47.9;47.9;54.1;59.3
40.8;40.8;40.8;40.8;40.8;46.6;49.9;52.4;52.4;52.4;52.4;52.4;57.4;59.9;46.6;46.6;46.6;46.6;46.6;50.8;54.9
40.1;40.1;40.1;40.1;40.1;43.9;47.3;51.3;51.3;51.3;51.3;51.3;54.5;57;45.5;45.5;45.5;45.5;45.5;48.4;51.7
39.6;39.6;39.6;39.6;39.6;42.3;45.5;50.3;50.3;50.3;50.3;50.3;52.6;55;44.5;44.5;44.5;44.5;44.5;46.8;49.4
39.4;39.4;39.4;39.4;39.4;41.4;44.2;49.2;49.2;49.2;49.2;49.2;51.4;53.5;43.8;43.8;43.8;43.8;43.8;45.7;47.8
39.1;39.1;39.1;39.1;39.1;40.8;43.3;48.3;48.3;48.3;48.3;48.3;50.8;52.4;43.3;43.3;43.3;43.3;43.3;44.9;46.6
38.8;38.8;38.8;38.8;38.8;40.3;42.4;47.5;47.5;47.5;47.5;47.5;50.3;51.5;43;43;43;43;43;44.4;45.5
38.6;38.6;38.6;38.6;38.6;39.9;41.5;46.9;46.9;46.9;46.9;46.9;50;50.8;43;43;43;43;43;43.9;44.5
38.3;38.3;38.3;38.3;38.3;39.5;40.7;46.5;46.5;46.5;46.5;46.5;49.9;50.2;43.1;43.1;43.1;43.1;43.1;43.5;43.8
38.3;38.3;38.3;38.3;38.3;39.1;40;46.6;46.6;46.6;46.6;46.6;49.9;49.9;43.3;43.3;43.3;43.3;43.3;43.3;43.3
38.4;38.4;38.4;38.4;38.4;38.8;39.3;47.1;47.1;47.1;47.1;47.1;50.1;49.9;43.4;43.4;43.4;43.4;43.4;43.1;43.1
38.8;38.8;38.8;38.8;38.8;38.5;38.8;48;48;48;48;48;50.4;50;43.7;43.7;43.7;43.7;43.7;43.1;43.1
39.3;39.3;39.3;39.3;39.3;38.3;38.5;49.3;49.3;49.3;49.3;49.3;50.7;50.1;44.2;44.2;44.2;44.2;44.2;43.1;43.2
40;40;40;40;40;38.3;38.3;50.8;50.8;50.8;50.8;50.8;50.8;49.9;44.9;44.9;44.9;44.9;44.9;43.3;43.3
